ID,LogFC_x_Cha,LogFC_x_Man,LogFC_x_Kow,LogFC_x_Nor,LogFC_x_Mar,LogFC_x_Wah,LogFC_x_Fla,LogFC_x_Laz,LogFC_x_Ber,LogFC_x_Gro,LogFC_x_Sun,LogFC_x_Kir,Mean,Stdev,Gene,Counts
287,,,,1.8062623857,1.072028298,1.0382173,,,0.985892807,,1.2426212393,,1.229004406,0.3367330772078477,Rhoj,5
288,1.4423681264,,,1.035560574,0.4193222998,,0.60996027781666,,,,0.5878021373,,0.819002683063332,0.4160464590617732,Mef2c,5
290,,,,1.3768339454,1.2843233654,1.1136450138,,,0.7235096234,,0.6233512936,,1.0243326483200001,0.3358234562957126,Stxbp4,5
292,1.6756270579,,,1.0050021363,,0.7374356916,,,0.6465034444,0.5113995635,,,0.9151935787400001,0.46183506653191564,Ndrg1,5
310,,,,2.1767160087,1.8263539891,1.9330681919,,,1.0928497254,,1.8110254281,,1.7680026686399999,0.4047778873989759,Dsg2,5
316,,,0.2521410908,1.902468061,1.2668145036,1.8582218704,,,,,1.3308767653,,1.32210445822,0.6656198861115282,Nrg4,5
320,,,-0.2982741165,,-0.6448263465,-0.9204209361,,,-0.692715825,,-0.8397034891,,-0.67918814264,0.2400091996277817,Slc28a2,5
321,,,,-0.8973550954,-1.3872586309,-1.0999447752,,,,,-0.6827907159,-0.6216542142,-0.9378006863200001,0.3142123772932898,Lst1,5
322,,,,-1.5095889509,-1.2354604645,-0.8051808097,,,-0.8010116832,,-0.779655498,,-1.0261794812600002,0.33083163003270166,Tm6sf1,5
323,-2.906167156,,,,-1.4237120842,,,-1.1641096717,-1.4257750693,,-1.5292000286,,-1.6897928019600001,0.6932178000066501,Nrk,5
324,-0.5095661494,,0.6828865088,2.9099046511,,1.691658456,,,,,1.9500483499,,1.34498636328,1.3050854411366162,Klrb1b,5
325,,,,0.9985646179,2.3768783561,1.3641296325,,,1.3908937212,,1.6680933266,,1.5597119308600003,0.5150596624831164,Il1rapl2,5
326,,,,1.7596914613,2.7404109815,1.8606733092,,,0.5987241129,,1.3776273635,,1.66742544568,0.7783413745897942,Abat,5
327,2.6065746426,,,,1.6145178227,2.3376349601,,,1.4038694688,,1.3312676848,,1.8587729158,0.5773594515997751,Lpl,5
328,1.527469005,,0.4998557354,,0.9125764879,,,,0.4761904615,,0.6946051887,,0.8221393757,0.4317062433317592,Tsc22d1,5
331,,,,,1.683218363,1.7767952837,,0.9403096258,1.0993081483,,1.551480422,,1.41022236856,0.3695747525617415,Pcdhb16,5
332,,,,1.716098835,,2.1482207028,1.24423148716666,,1.8587191274,,,0.3948793534,1.472429901153332,0.6852876808932155,Cysltr2,5
