,Gene,Counts,LogFC_Chamb,Adj.P.Val_Chamb,LogFC_Mann_,Adj.P.Val_Mann_,LogFC_Redmo,Adj.P.Val_Redmo,LogFC_Kotov,Adj.P.Val_Kotov,LogFC_Kowal,Adj.P.Val_Kowal,LogFC_Herau,Adj.P.Val_Herau,LogFC_Itoka,Adj.P.Val_Itoka,LogFC_Kim_v,Adj.P.Val_Kim_v,LogFC_Nordd,Adj.P.Val_Nordd,LogFC_Manse,Adj.P.Val_Manse,LogFC_Ali_D,Adj.P.Val_Ali_D,LogFC_Marya,Adj.P.Val_Marya,LogFC_Wahle,Adj.P.Val_Wahle,LogFC_Flach,Adj.P.Val_Flach,LogFC_Young,Adj.P.Val_Young,LogFC_Lazar,Adj.P.Val_Lazar,LogFC_Berse,Adj.P.Val_Berse,LogFC_Grove,Adj.P.Val_Grove,LogFC_Sun_G,Adj.P.Val_Sun_G,LogFC_Kong_,Adj.P.Val_Kong_,LogFC_Kirsc,Adj.P.Val_Kirsc,LogFC_Meng_,Adj.P.Val_Meng_
681,Gna15,4,,,,,,,,,,,,,-0.717281239832546,3.72983429987094e-05,,,-0.8916981591,0.0324221226,,,,,,,,,-0.820719439250002,0.024449277918261,,,,,,,,,-0.5696718726,5.22430410510519e-05,,,,,,
682,Frat2,4,,,,,,,,,,,,,-0.606416027695308,8.19932225313965e-05,-0.987868106836084,7.80068636368193e-05,,,-2.27215663624168,5.38239582430211e-07,,,-1.390808228,0.0010001193,,,,,,,,,,,,,,,,,,,,
683,Gpr4,4,,,,,,,,,,,,,1.37797544659047,1.07785885125682e-10,,,,,,,2.81226269812742,0.0001487906724167,,,,,,,,,,,0.7483231978,0.0109556409,,,1.2444507779,5.99241592227594e-09,,,,,,
684,Glul,4,,,,,0.773854456568896,1.01187300877052e-05,0.610567891038394,4.39525604130558e-05,,,0.258458012670814,3.20475793098723e-133,,,0.481800213146705,9.17656226592499e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Slc7a7,4,,,,,,,0.716734756595619,0.0001035013262572,,,,,,,,,1.3869263701,0.0149023019,,,,,,,1.4648192523,0.039296259,,,,,,,1.0804734857,0.0021362767,,,,,,,,,,
686,Nfkbia,4,,,,,0.84431969665353,8.55394228640754e-10,,,,,,,,,0.93479175604502,4.1495168240960496e-12,,,,,,,0.5853294839,4.13098452639022e-05,,,,,,,,,,,,,,,,,,,1.74290331819601,1.00971557539657e-06
687,Il17re,4,-1.3200160658,0.012457772,,,,,0.994314835857886,2.20605358447293e-05,,,,,0.643048027170482,0.0013352047852131,,,,,,,,,0.6280454191,0.0008501557,,,,,,,,,,,,,,,,,,,,
688,Fcna,4,,,,,,,,,,,,,-2.03353533628814,3.31478704247823e-06,-2.8396477634688,0.000209021089487,,,,,,,-1.2495928319,0.0015043649,,,,,,,,,,,,,,,,,,,-11.772114185021,7.9932782564138e-06
689,Enpp4,4,,,,,,,0.600930358740118,9.1826848705746e-06,,,,,,,,,0.6678693846,0.0399597133,,,,,0.6793396945,5.73785783999241e-06,,,,,,,,,,,,,0.957040489,2.80306800863462e-08,,,,,,
690,C7,4,,,,,,,3.58955430586937,0.0002615681792186,,,,,,,,,,,,,5.17789305954132,0.0002545472751298,,,,,,,,,,,,,,,,,3.86378555298535,4.05068685182772e-05,,,10.0642788092997,0.0011069217341688
691,Tmem176b,4,,,,,0.656978457151772,2.24998583777397e-05,,,,,,,,,0.806589639956997,1.94389370789822e-21,,,1.16955194204083,0.0005446202586263,,,,,,,,,,,,,,,,,,,,,,,1.55070487218347,2.38304113948188e-12
692,Kcnk12,4,,,,,,,-1.92995254190007,2.69967817824476e-06,,,,,-1.65638979466819,9.8400430347081e-13,-2.14198083414726,0.0002198775679497,,,,,,,,,-1.292699064,0.0268655627,,,,,,,,,,,,,,,,,,
693,Efemp1,4,,,,,,,2.55790579834179,0.0018523963523406,,,,,,,,,,,,,,,5.3904476378,3.90139422321411e-12,1.9416912787,0.0122533979,,,,,,,,,,,1.5925871206,8.58338309295727e-07,,,,,,
694,Pik3ip1,4,,,,,0.590970071504125,0.0001758146631523,0.451580373670285,0.001986696012137,,,,,,,0.39373753844458,0.0003682295213643,,,,,,,0.5037137412,0.0025055889,,,,,,,,,,,,,,,,,,,,
695,Ly6c2,4,,,,,,,,,,,,,,,2.5096410688013,2.65133254977117e-05,,,,,,,-4.1105852386,2.36571532088087e-10,,,,,,,,,,,,,2.1207915398,1.07280179504835e-08,4.97913556745576,3.96283375953582e-05,,,,
696,Ptpru,4,,,,,,,1.51140051928075,0.0004318899910573,,,,,2.38968798575066,9.49301302851333e-08,,,,,,,,,1.3048927366,0.0026523376,,,,,,,,,,,,,1.2415085531,9.087538083241041e-10,,,,,,
697,Sdc4,4,,,,,,,0.715273672036835,2.69398865331091e-06,,,,,,,,,1.2675522036,0.0486006211,,,,,,,,,,,,,,,,,,,1.1637083223,5.968877821739781e-09,2.84446729602554,0.0005826225140549,,,,
698,Sphk1,4,,,,,,,-2.09028861918194,1.16154649263784e-06,,,,,,,-1.45416542364831,1.66366291084176e-05,,,,,,,-8.9165325174,2.41247715920546e-06,,,,,,,,,,,,,-1.5912065279,2.62171662297587e-10,,,,,,
699,Irf2bp2,4,,,,,,,-0.527732682939947,0.0009813519287402,,,,,-0.801711502892243,0.0003122500627104,,,,,,,,,-0.6811218632,0.0036168269,,,,,,,,,-0.4603306582,0.0335101319,,,,,,,,,,
700,Fetub,4,,,,,,,2.79886278870582,7.783318801573961e-09,,,,,1.70794027176553,2.35270390837955e-06,,,,,,,,,,,,,,,,,,,1.1285968337,0.028685023,,,,,,,,,11.5679600035299,1.76118044360447e-05
701,Bsn,4,,,,,,,-1.24487034478415,0.0002822873325073,,,,,-0.963510987194598,0.0027120488354868,,,,,,,,,,,,,,,,,,,,,,,-1.5745440847,3.4234381081369198e-18,-1.93311595515072,0.0014336022270819,,,,
702,Clec14a,4,,,,,,,,,,,,,,,,,0.7089027618,0.049163841,,,,,0.8582178194,0.0010811814,,,,,,,,,,,,,0.9803218114,3.22659446712365e-08,,,,,12.2516000925931,1.85463460214679e-07
703,Slc6a15,4,3.4975581006,0.0267403691,,,,,,,,,,,,,,,,,,,,,0.541165742,0.0023494537,,,,,,,,,0.7619590291,0.0131346914,,,0.6650841313,1.00279182409466e-06,,,,,,
704,Tnfaip2,4,,,,,,,,,,,,,0.74726547780481,5.6455464701671e-08,,,0.9374594979,0.0224045127,,,,,,,0.931832029,0.0180154351,,,,,,,0.7411986278,0.0021362767,,,,,,,,,,
706,Srsf2,4,0.8077463329,0.0144717161,,,,,,,,,,,,,-0.510140010519055,2.73655349177957e-07,,,,,,,-0.9415268972,0.0011824315,,,,,,,,,,,,,,,-0.502315134512631,0.0011934888826827,,,,
707,F11r,4,2.9121463865,0.0187789309,,,0.579598503602849,0.0002433808279017,,,,,0.26726929793569,9.843568621219901e-152,,,0.838122942902672,6.01042760685971e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Kpna2,4,1.5858309428,0.0250400461,,,-0.664846874247775,0.0001468742197669,,,,,,,0.610956633786565,0.0012300917710566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.63085805963663,3.40564069357548e-05
709,Fosb,4,,,,,,,,,,,0.411296541257346,2.41684903221727e-183,0.577163614680056,2.72378684380117e-06,,,,,-4.57147940695089,1.69931569606881e-17,,,,,,,,,,,,,,,,,,,,,1.9352031566,1.74026331278074e-11,,
710,Rpl13,4,,,,,,,,,0.4319282305,3.44488155719661e-13,,,,,0.318389824953883,0.0004124301633669,,,1.2946996649766,0.0001736620658759,,,,,,,,,,,,,,,,,,,,,,,1.07062692229376,7.03048181908735e-06
711,Hnrnpab,4,2.0391337988,0.0270484901,,,,,-0.420511117344127,0.0020427039037606,,,,,,,-0.527047709534951,9.85143021361739e-08,,,,,,,-1.1753766108,0.000107179,,,,,,,,,,,,,,,,,,,,
713,Plxnb2,4,,,,,,,0.614586774434457,0.0015476113916851,,,,,0.559568178255846,2.50254843869503e-05,1.14317465862825,2.70567348723544e-05,,,,,,,,,,,,,,,,,0.6534805632,0.0175474854,,,,,,,,,,
714,Dnajb9,4,,,,,,,,,,,,,-0.598344212816073,0.00098703667167,,,,,-3.08071124816348,3.05382154385189e-13,,,,,,,,,,,,,0.5006888967,0.0154594678,,,,,,,,,1.0419987229378,0.000601702338187
715,Hsd17b10,4,,,,,,,,,,,,,,,0.685574455076959,2.11481796254533e-10,,,1.75196711377368,1.09665580600433e-06,,,0.4028914109,0.0041166384,,,,,,,,,,,,,,,,,,,1.01935308237593,0.0001075851416308
716,Pla2g4a,4,,,,,,,0.565643132848929,0.0004406279812585,,,,,0.515741589880732,0.0023959830433487,,,,,,,,,0.6422258736,5.66530962725241e-07,,,,,,,,,0.632782084,0.0146868571,,,,,,,,,,
717,Esam,4,,,,,,,0.663268665222312,4.69380294672771e-05,,,0.283108802743198,7.35128429225461e-94,,,0.629384479837072,2.63932827324962e-05,,,,,,,0.4712701342,0.0001009705,,,,,,,,,,,,,,,,,,,,
718,Iigp1,4,,,,,1.26714330635419,3.13841884691905e-08,0.834815789127985,2.77628484459261e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.8872029268,0.0335101319,0.6893387554,0.0087524496,,,,,,,,
719,Ppm1e,4,,,,,,,,,,,,,2.03678106285669,0.0011907910726637,,,0.9372831117,0.0381825871,,,,,,,,,,,,,,,,,,,0.8679354484,2.54271279946613e-06,,,,,10.4279030955737,0.000576122076569
720,Tent5c,4,,,,,,,,,,,,,,,1.31405289681646,0.0009243698395519,,,,,,,2.3235400001,5.2343572439558004e-15,,,,,,,,,0.8291341513,0.0288423022,,,1.7976751836,5.34855502339714e-22,,,,,,
721,Dok1,4,,,,,,,0.719206720458191,4.29648450708219e-06,,,,,,,0.67193165993165,0.0009104372300257,,,,,,,0.5199961132,0.0015875119,,,,,,,,,0.9206962915,0.0024931146,,,,,,,,,,
722,Rabac1,4,,,,,0.56283821388554,4.33203526198672e-05,,,,,,,,,0.701873057640117,4.44688043751796e-12,,,1.25673693698444,0.000610504951843,,,,,,,,,,,,,,,,,,,,,,,1.28833492979248,1.63765413588564e-05
723,Asf1b,4,,,,,,,-0.645228585482911,0.001080420328138,,,,,,,,,-1.1642783581,0.0140729008,,,,,,,,,,,,,,,,,-0.384672896,9.54268297422667e-07,,,,,,,-1.1892156952245,0.0011489900371498
724,Ptger3,4,,,,,,,0.658210062122701,7.34820070062556e-06,,,,,0.587010033856367,0.000163471741687,,,0.6389051478,0.0278233933,,,,,,,0.807938948,0.0287872083,,,,,,,,,,,,,,,,,,
725,Mef2c,4,1.4423681264,0.0189761254,,,,,,,,,,,,,,,1.035560574,0.0114985826,,,,,0.4193222998,0.0001861588,,,0.60996027781666,0.0435242745119794,,,,,,,,,,,,,,,,
727,Cd9,4,,,,,,,,,,,0.283451836941513,5.8749035444207905e-133,,,0.5936672237904,4.5226208042594e-06,,,,,,,0.7537027878,6.0658806268985804e-09,,,,,,,,,0.6414437931,0.0250413744,,,,,,,,,,
728,Gm10384,4,,,,,-1.84901473819984,0.0001204701937585,,,,,,,,,,,,,,,,,-1.664260519,9.036272232369981e-09,,,,,,,,,-0.9802188016,0.0074146783,,,-1.5180190085,6.164144162469321e-15,,,,,,
729,Parvg,4,0.7854742827,0.0194988567,,,,,,,,,,,,,-0.526191305090081,0.0001313908127244,,,,,,,-0.4580062646,0.000566583,,,-0.682762455900006,0.0325326691947795,,,,,,,,,,,,,,,,
730,Cd55,4,,,,,,,0.76942845476276,1.60188804960946e-06,,,,,,,,,1.0900241282,0.0272423586,,,,,0.6309854634,0.0008187327,,,,,,,,,,,,,0.5902486383,9.69641650361439e-05,,,,,,
733,Relt,4,,,,,,,-0.719247902941401,0.0009264015814449,,,,,-0.553396122662145,0.0008369867430308,,,,,,,,,-0.868829138,3.03421566484646e-05,,,,,,,,,,,,,-0.6106806089,5.14121030131836e-05,,,,,,
734,Fscn1,4,,,,,,,-0.959441844956915,0.0001396243346013,,,,,-1.53403669361701,6.537151596147491e-19,,,,,-3.32949164645391,7.61696142743531e-08,,,-1.8480647765,7.41037648005341e-14,,,,,,,,,,,,,,,,,,,,
735,Pkm,4,1.5461440205,0.0206396203,,,,,,,,,,,0.374248544023098,0.002028607899027,0.467670696841805,4.17309024242533e-08,,,,,,,0.3774699006,0.0004352541,,,,,,,,,,,,,,,,,,,,
736,Ms4a6b,4,,,,,,,,,-0.3262992625,8.56456999924567e-08,,,-0.838002280770362,5.68985372035469e-05,,,-1.2832543571,0.041782281,,,,,-1.0077704533,3.16656355569198e-06,,,,,,,,,,,,,,,,,,,,
737,Arpin,4,,,,,,,1.96020414808753,1.17714265613274e-12,,,,,,,,,,,,,,,1.3521694082,2.45373904527175e-06,,,,,,,,,,,,,1.3582299247,5.33766305063129e-12,4.60262047182951,1.99252702435289e-05,,,,
738,Rrm1,4,,,,,,,-0.399501632901964,0.0020795556902718,,,,,0.488919803449121,0.0002789010563408,-0.690492993428014,1.65773656092794e-05,,,-1.58820082611083,0.0002486297769048,,,,,,,,,,,,,,,,,,,,,,,,
739,Ffar2,4,,,,,,,1.55974505157225,5.96611885794777e-06,,,,,1.3395919485182,0.0005689230119599,,,,,,,,,,,1.7491932563,0.0067106071,,,,,,,,,,,,,3.07899217319076,0.0001423749453363,,,,
741,Slc40a1,4,,,,,,,,,,,,,-1.73417333719429,7.84535847897423e-10,-2.16103914710504,2.08776861656442e-05,,,,,,,,,,,,,,,,,-0.4958768737,0.0304599646,,,-0.7057955957,3.27982937048313e-05,,,,,,
742,Mettl7a1,4,,,,,1.03552559742342,6.63275109070169e-12,0.591806407684499,0.0007362423402429,,,,,,,0.42573497775943,0.0001501125963467,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64775176581839,0.0001898369151248
743,Nudt10,4,,,,,,,,,,,,,,,,,1.3422944964,0.0122688959,,,,,1.6837598763,0.0016255617,1.1628964297,0.0102496907,,,,,,,,,,,,,3.73931350300704,0.0004156866763226,,,,
744,H1f5,4,,,,,-1.71558008527338,2.05585986170008e-05,-1.75764127947814,0.0003470061526283,,,,,,,,,,,,,,,,,,,,,,,-1.6003479925,3.18725406240127e-12,,,,,-2.1019043863,2.33884007359509e-07,,,,,,
745,Susd3,4,,,,,,,0.670350318324266,7.53538128672951e-07,,,,,,,,,,,2.64097609638823,1.73489478972736e-06,,,0.9312073804,1.36591860485706e-07,,,,,,,,,,,,,0.7543661285,1.0181041255586e-06,,,,,,
746,Prkcz,4,,,,,,,1.74628714677892,8.78424776320911e-05,,,,,2.10319235681576,2.29353514607137e-07,,,,,,,,,3.9060280368,1.98786977011036e-09,,,,,,,,,,,,,1.8705660375,6.32687469062218e-14,,,,,,
747,Clca1,4,,,0.5980843504,6.3890586288399e-06,,,,,0.6064010206,9.29514627690655e-31,,,,,,,,,,,,,,,,,,,,,,,,,0.9123180983,2.52955264963683e-07,,,,,,,2.83312271518462,1.37968248070767e-14
748,Insl6,4,,,,,0.841560498395096,2.03333158098264e-05,0.73646744948892,0.0016326454501623,,,,,,,,,,,,,,,0.7003998249,0.0011635747,,,,,,,,,1.208493466,0.0451815544,,,,,,,,,,
749,Slc14a1,4,2.0403074406,0.0082467142,,,,,0.63999985239732,0.0001008418719725,,,,,,,,,,,,,,,0.6509811912,2.25816925094152e-05,,,0.697427719908328,0.0148344735839294,,,,,,,,,,,,,,,,
750,Ptgfrn,4,,,,,,,,,,,,,,,,,2.0959660655,0.0132298703,,,3.15053113008135,0.0002498168097485,,,1.8056778529,0.0231199965,,,,,,,,,,,1.8589790604,2.4364225687896103e-20,,,,,,
751,Cpt1c,4,,,,,,,1.06197648243211,7.40846892176736e-05,,,,,,,,,0.9907489568,0.0486006211,,,,,2.1782070946,4.82311713528879e-06,,,,,,,,,,,,,1.0862323062,1.45393820417881e-05,,,,,,
752,Adgrl4,4,,,,,,,0.746604058466365,4.87844828435264e-06,,,0.317709058438363,6.71509536499372e-156,0.551577543695527,0.0006387421335254,,,0.662551225,0.0408106613,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Rassf10,4,,,,,,,9.21389215700232,1.0448197314331201e-23,,,,,2.32484056330029,0.0008435970723312,,,,,,,,,,,1.9198677306,0.025806933,,,,,,,,,,,3.6784093447,9.85493493641236e-24,,,,,,
754,Gstt1,4,,,,,,,0.742264523954494,3.23962282596172e-06,,,,,,,1.49749682842731,6.72005022289273e-08,,,,,,,1.0125526093,1.55501821151441e-06,,,,,,,,,,,,,,,4.35164034678166,1.56623114460708e-06,,,,
755,Gm16548,4,,,,,,,,,,,,,3.17538482048144,3.7086187350066604e-35,2.9792804113919,4.7308769236908e-42,,,,,,,,,,,,,2.05646203047406,1.05609836873399e-05,,,,,,,1.3786079032,2.41092008337761e-05,,,,,,
756,Cenpa,4,,,,,,,-0.66420239341985,0.000526026316551,,,,,,,-0.879142820243558,0.0001329009644963,-0.7215804198,0.0295696566,,,,,,,,,,,,,,,,,,,,,,,,,-1.85053196697169,0.0005550215468068
757,Stom,4,,,,,,,0.568786580952515,0.0007367774199542,,,,,,,,,,,,,,,0.618559649,9.09943772617946e-05,,,,,,,0.8879411032,5.5187895786649e-05,0.9411879794,0.0410366378,,,,,,,,,,
758,Slco2a1,4,,,,,,,0.927682508455726,0.0009423951092914,,,,,1.80399403994632,6.01003105907962e-06,,,,,,,,,,,,,,,,,,,1.801123849,0.0026274438,,,1.2186951004,6.26867167670787e-12,,,,,,
759,Ccnd1,4,,,,,,,0.643569534542313,2.66800643762772e-06,,,,,,,1.18298823913768,1.21903800242196e-07,,,,,,,,,,,,,,,,,0.9161331976,0.0089885393,,,0.7312223361,1.76440003970895e-06,,,,,,
760,Wwp2,4,-0.3586624891,0.0206396203,,,,,0.660169692454291,7.49098794739004e-06,,,,,,,,,1.1159905955,0.0133122597,,,,,,,0.8401966758,0.0320143146,,,,,,,,,,,,,,,,,,
761,Mki67,4,,,,,,,-0.661965805886056,0.0003354571884622,,,,,2.449364665037,9.86400607621107e-28,-1.02519574912863,2.26647233124518e-05,,,-1.64288767214913,6.11274724022014e-05,,,,,,,,,,,,,,,,,,,,,,,,
762,Rasl11b,4,,,,,,,-3.95047237480584,0.0005410678141642,,,,,-1.72812013641813,0.0006240623605798,,,,,-11.0695681162469,4.96698746975023e-20,,,,,-0.8778959981,0.0407685636,,,,,,,,,,,,,,,,,,
763,Sbno2,4,,,,,,,0.564784508081752,9.45958346592078e-06,,,,,0.847656474257762,2.96567982935352e-09,1.08038341312156,4.23896610980396e-08,,,,,,,0.4834920976,0.0009142155,,,,,,,,,,,,,,,,,,,,
764,Fam46c,4,2.4297908311,0.0165438129,,,,,,,,,,,0.910511922864429,0.0003186416464543,,,1.8627833356,0.0286256588,,,,,,,1.5567272403,0.0045304251,,,,,,,,,,,,,,,,,,
768,Aurkb,4,,,,,-0.876715680420547,0.0001410439495261,-0.628784620069741,0.0006587447653068,,,,,1.02787806170294,2.51085503885911e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.35970369244294,2.60548447168772e-05
769,Itgb5,4,-1.8615696449,0.0283931752,,,,,,,,,,,-2.75737189453969,1.11842970798633e-21,,,,,,,-2.09362254791526,1.71692577460878e-05,,,-1.5095274791,0.0099208509,,,,,,,,,,,,,,,,,,
770,Samsn1,4,,,,,,,0.680933945544555,7.73615330380906e-08,,,,,,,0.475847122585171,0.0012031289118641,1.0332801813,0.0065317035,,,,,,,,,,,,,,,,,,,,,,,,,0.903925353025785,8.23146488651852e-05
771,Ifi47,4,,,,,0.705429454028658,5.34120404020587e-06,0.48791173523525,0.000497124170708,,,,,,,,,,,,,,,0.42784067,0.0003488087,,,,,,,,,1.0075376062,0.0217051432,,,,,,,,,,
772,Serinc3,4,3.1237780601,0.0128696495,,,,,,,-0.4958714983,8.62575523245894e-12,,,,,,,,,,,,,,,,,,,,,,,,,0.5459722561,0.0140698853,,,,,,,0.710670790624953,0.0006471748645656
773,Timp3,4,1.8730693005,0.0187457968,,,,,0.778775455964938,3.44280675362654e-05,,,,,,,,,,,,,,,1.3749886629,2.16447956036765e-10,,,,,,,,,,,,,1.3721588612,2.10084460959979e-18,,,,,,
774,Dnmt1,4,,,,,-0.8250119503673,1.54371213004969e-05,,,,,,,0.540985754684661,2.2473228720365e-05,-0.582899317990679,0.000135516701756,-0.8632826177,0.0267826023,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Irf2bpl,4,,,,,,,1.27065005244051,9.807943100117322e-09,,,,,1.31173499942533,1.63826305222474e-16,2.05752861003029,1.62499477434213e-09,1.6702322421,0.007755165,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Myo1d,4,1.2673212141,0.0284569406,,,,,0.714037480646391,3.87799171022559e-05,,,,,0.598712176813829,0.0003955128414335,,,,,,,,,0.6964584302,0.0037314372,,,,,,,,,,,,,,,,,,,,
779,Hoxb5,4,,,,,,,,,,,,,,,1.43842747232217,0.0012727875368568,1.0967708845,0.0252194757,,,2.02696342664092,0.0003353287432319,,,,,,,,,,,0.8962424532,0.0020005723,,,,,,,,,,
780,Timeless,4,,,,,,,,,-0.2669790237,3.62201554824459e-07,,,0.667979782480404,0.0010153910824085,,,-1.1932456817,0.0412866174,,,,,,,,,,,,,,,,,,,-0.80117997,3.1111007176417e-07,,,,,,
782,Tuba8,4,,,,,,,,,,,,,1.47054770673677,1.13158798360363e-07,,,,,,,,,0.8019092834,0.0034022313,,,,,,,,,,,0.389514132,0.0242492281,,,2.11913064582552,0.0002091311422724,,,,
783,Lancl3,4,,,,,,,1.08669334165594,1.89481127974774e-05,,,,,,,,,0.8077807862,0.0486006211,,,3.99701056094201,3.57729106203704e-05,,,,,,,,,,,,,,,0.9949830698,1.77160213246071e-09,,,,,,
784,Meiob,4,,,,,,,3.14972473362168,0.0003824863401478,,,,,8.17341487097458,8.63047410912965e-11,,,1.1509681153,0.0262304157,,,,,,,,,,,,,,,,,,,,,4.11244988104869,0.0001577418308809,,,,
785,Apol10b,4,,,,,3.18180535534139,0.0002124731654673,4.31768581672326,1.10374721373008e-13,,,,,2.13136324531642,1.11709100395957e-05,,,,,,,,,,,,,,,,,,,,,,,,,4.45581759448109,0.000233240122722,,,,
786,Faah,4,,,,,,,-0.763434771944205,0.0015765055424266,,,,,,,,,,,-2.81777729500649,0.0003623634023187,,,-0.9096605283,3.45496276063465e-05,,,,,,,,,,,,,-0.6910966885,3.77414244458341e-05,,,,,,
787,Ifitm3,4,,,,,0.925597534527423,1.81833110301246e-08,,,,,,,0.521481905923517,5.4585808689901e-05,0.753189627865717,3.91653043087731e-34,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997591617153208,0.000603949075739
788,Ube2c,4,,,,,,,-0.732133581802245,0.0004864196935749,,,,,0.800410792972309,0.0004294507032321,,,,,,,,,,,,,,,,,,,,,,,-0.5789424627,9.4622538974336e-05,2.92240876814057,9.94761977020027e-05,,,,
789,B4galnt4,4,,,,,,,0.947614810497849,0.0015863598559234,,,,,,,1.4552616704794,0.0003001590822955,,,,,,,,,,,,,,,,,0.5633741998,0.0210513688,,,0.6770622549,1.33779661293934e-05,,,,,,
790,A530040E14Rik,4,,,,,,,,,,,,,,,,,,,,,,,2.7308526793,1.95153341551306e-07,,,,,1.62331521838976,4.55871217769428e-06,,,2.1928410556,0.0033645612,,,1.9398010393,8.08627774112529e-18,,,,,,
791,Trf,4,,,,,,,,,-0.297339821,4.14002452464809e-08,,,-0.729794903236867,1.8556618062731e-05,-1.37923418491503,2.04514181586878e-06,-1.2003693729,0.0247696431,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Prim1,4,,,,,,,-0.62946462936672,2.88322888825477e-05,-0.5200704167,1.02784579026552e-09,,,,,,,,,,,,,,,,,,,,,,,,,-0.6307683463,0.0142092583,,,,,,,-1.38090281742996,5.60320515554474e-05
793,Gabarapl1,4,0.9955318925,0.0205171757,,,0.761333408460301,8.51455379479189e-07,,,,,,,,,0.909123570252166,1.01687027413472e-28,0.8635594083,0.022474799,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Lgals3bp,4,,,,,0.521130289874524,0.0002844955221267,,,,,,,0.424726129664628,0.0006936365093582,0.375425295524625,7.79286158216365e-05,,,,,,,0.4282518432,1.31730084634154e-05,,,,,,,,,,,,,,,,,,,,
796,Erp27,4,,,,,,,,,0.5521792509,0.0017137519,,,1.10182247066598,2.8473804303241e-07,,,,,,,,,1.3473389105,1.80625742482803e-08,,,,,,,,,,,,,1.2156030299,2.9397398509686103e-09,,,,,,
797,Gm14964,4,,,,,2.16165935968389,4.77458195726521e-05,,,,,,,,,,,,,,,,,2.9592983085,8.07319835702262e-07,,,,,,,,,0.837360572,0.0286967287,,,2.0450367095,1.4305588232049e-09,,,,,,
798,Dlk1,4,,,,,,,1.64014864662776,0.0018877809661243,,,,,,,,,,,,,2.90565220641381,2.12702611833294e-05,1.1606193107,0.0009536815,,,,,,,,,,,,,1.4788176904,5.72920484897552e-10,,,,,,
799,Gata1,4,,,,,,,,,-0.3643634064,0.0003915286,,,,,-1.3710686269798,2.49852514400203e-07,,,,,,,,,-1.1555491245,0.0234144642,,,,,,,,,,,-0.946327599,5.395315578876141e-09,,,,,,
800,Zfp57,4,,,,,,,0.838933630096204,0.0010226440331882,,,,,,,,,,,,,,,,,,,,,2.20269336718039,0.0001979124943067,,,0.5146707726,0.0325126205,,,,,1.26906978029789,0.0003885737283996,,,,
801,Nabp1,4,,,,,,,,,,,,,,,,,1.0576027237,0.0132298703,,,,,0.646448476,0.0015565581,,,,,,,,,,,,,0.8619386155,4.30332597414084e-08,1.03487142139186,0.0008490444922817,,,,
805,Avpi1,4,-1.3465425478,0.0287619153,,,,,,,0.3877112853,1.28787016707767e-06,,,,,,,,,2.48796746232197,8.13079863132704e-08,,,,,,,,,,,,,,,,,,,2.42551886430955,0.0005267483138434,,,,
806,Dusp2,4,,,,,,,-0.915281488985191,1.69271139946587e-06,,,,,-1.2841926164145,9.37075797120962e-23,,,,,-1.92106362325855,2.35758169462006e-05,,,,,,,,,,,,,,,,,,,-0.780968215387421,0.0003043203983227,,,,
807,Elovl5,4,1.0138379913,0.0172234425,,,,,,,,,,,,,,,-0.5547362096,0.0409814837,-1.84339075818143,3.15783910494901e-05,,,,,,,,,,,,,-0.3921293814,0.0415885207,,,,,,,,,,
809,Slc27a6,4,,,,,,,0.813046431335341,0.000266655349375,,,,,,,0.918437343773765,0.0004040138314878,,,,,,,0.7195665435,6.44341222990791e-05,,,,,,,,,,,,,0.9273633701,6.7884807264488705e-09,,,,,,
810,Chac2,4,,,,,,,,,,,,,1.05706823219159,0.0022784236628488,,,,,,,,,0.7915436541,0.0030296708,0.8442429152,0.0287965943,,,,,,,,,,,,,4.59903584511203,8.16671270140945e-09,,,,
811,Sema3e,4,,,,,,,,,,,,,2.37303277559651,5.90855014353039e-06,,,,,4.69663316852369,0.0002787338866301,,,3.6694654673,3.23886770333658e-05,,,,,,,,,,,,,1.8636279497,4.1805516120102695e-11,,,,,,
812,Ppp1r15a,4,,,,,1.41296559577773,1.03350411334857e-11,,,0.6259698589,0.0324063904,,,,,,,,,-2.90842320533295,5.22521506008477e-14,,,,,,,,,,,,,,,,,-0.6797292509,1.67942105631395e-06,,,,,,
813,Sec14l1,4,,,,,,,0.558679229193327,5.27494054648689e-05,,,,,,,0.90399805248953,8.05407511005394e-05,,,,,,,0.6172958139,1.95027488969648e-05,,,,,,,,,,,,,0.5999027236,1.51459739509258e-05,,,,,,
814,Tgtp1,4,,,,,1.6223898077689,1.05917044730332e-14,0.928952380734078,1.42694153389483e-07,,,,,,,0.647344158295249,3.12125174951803e-06,,,,,,,,,,,,,0.906892562692371,4.89170824787116e-05,,,,,,,,,,,,,,
