,Gene,Counts,LogFC_Chamb,Adj.P.Val_Chamb,LogFC_Mann_,Adj.P.Val_Mann_,LogFC_Redmo,Adj.P.Val_Redmo,LogFC_Kotov,Adj.P.Val_Kotov,LogFC_Kowal,Adj.P.Val_Kowal,LogFC_Herau,Adj.P.Val_Herau,LogFC_Itoka,Adj.P.Val_Itoka,LogFC_Kim_v,Adj.P.Val_Kim_v,LogFC_Nordd,Adj.P.Val_Nordd,LogFC_Manse,Adj.P.Val_Manse,LogFC_Ali_D,Adj.P.Val_Ali_D,LogFC_Marya,Adj.P.Val_Marya,LogFC_Wahle,Adj.P.Val_Wahle,LogFC_Flach,Adj.P.Val_Flach,LogFC_Young,Adj.P.Val_Young,LogFC_Lazar,Adj.P.Val_Lazar,LogFC_Berse,Adj.P.Val_Berse,LogFC_Grove,Adj.P.Val_Grove,LogFC_Sun_G,Adj.P.Val_Sun_G,LogFC_Kong_,Adj.P.Val_Kong_,LogFC_Kirsc,Adj.P.Val_Kirsc,LogFC_Meng_,Adj.P.Val_Meng_
41,Gpr183,16,,,0.4866814687,0.0141272939,3.86797753132851,3.95072127890045e-12,2.97041110429991,7.26437970515069e-40,0.2901684407,2.16017494718591e-08,,,4.84524806350084,1.58674919759591e-57,4.34547599117084,5.58035581717396e-10,4.1941053746,0.0002300656,5.15225658095004,3.5342818807348e-14,,,,,3.9158452287,0.0001410253,1.969398928475,0.002625576644988,4.1469921630806,7.57894212905542e-11,,,1.8049427123,0.0067883408,0.6598183825,3.79773909485797e-06,,,4.79935216131141,2.49980826842641e-05,0.6606287499,0.0005789505,13.0721461997607,2.05501626326326e-65
45,Enpp5,16,3.1242166676,0.013955513,0.5788828157,0.0334127578,1.39106966917676,5.84254746333544e-13,1.54972472188505,2.00216362557365e-24,0.8920841637,1.1640822255128099e-11,0.342187426304043,1.5718320604785298e-179,1.04436178993017,2.0855762729017202e-14,1.74554504658747,2.31846429857927e-12,2.4251415919,0.0025343997,,,,,1.7128052309,1.13716653423427e-33,,,,,,,1.4588786309,2.0077255820250604e-09,1.3100872998,0.0015946948,0.7205668662,1.7171990144781e-06,1.7654551074,4.44056426662775e-25,1.96960901238226,2.02659995085819e-07,,,2.61329721099259,6.21115968263536e-22
46,Zg16,15,2.6458883961,0.0122078102,,,3.00761238148296,3.49134932096062e-07,3.72512552116333,1.7319069944245797e-36,,,,,5.11622275123334,3.44013606399228e-15,2.71815140032197,3.78070195663145e-14,4.3340372357,0.0018015567,5.76777885535925,1.66118687178574e-11,,,10.4582497573,4.04382266786802e-17,3.5699097882,0.0004445173,1.272623946125,0.0302253043461593,,,2.5999806084,7.90315300668761e-08,2.5450903648,0.0007044965,,,3.5409096847,1.01005280737479e-42,3.44687630379422,1.43379669044295e-06,,,13.1498091816979,7.06327775549884e-13
64,Vwf,15,,,0.7578124998,1.30431068246327e-06,1.24607361226854,1.14886123756071e-06,0.992436165042792,3.41698162559458e-11,0.284538469,0.0075679176,0.323527750772356,1.9747569319855e-197,0.881022811276545,5.14529920789201e-13,1.80498991358221,6.30548800722739e-29,2.0451373951,0.032075409,1.63440676703474,4.94680871390773e-06,3.49448239929257,1.87841872434435e-09,1.8176362948,1.08214039887244e-27,2.089372431,0.0034203292,,,,,0.9396538605,3.57230899199339e-05,1.2705966495,0.0006646503,,,1.771409558,4.6713851974388304e-20,,,,,,
65,Sult1a1,15,3.7880321143,0.0082467142,1.1257416267,3.443314498634e-10,2.49689554597775,1.00519148095232e-35,1.92385743787655,5.70140647869127e-35,1.7159414442,8.77241964230411e-22,0.720044619823333,0.0,1.345302432639,4.91639860312526e-25,2.49010342015647,1.8128121086494e-68,2.8481873983,0.0003568728,2.64711281734394,2.36721335222721e-12,,,,,2.0188866987,0.0036687712,,,3.15030072401762,1.10603506421188e-20,,,,,1.4446321878,1.3507301171372202e-09,,,2.11767395366941,7.17199844930728e-06,,,4.72187389604222,8.42524009550778e-46
66,Itgb3,15,,,0.5188731381,0.0005793044,1.47571112042948,6.87862400572662e-09,1.7238209085486,1.28160406480794e-25,,,,,1.21963312622357,2.1101389182499e-13,1.61698315195948,6.5608077201654e-20,1.6329878179,0.0097586248,,,2.99341991554629,2.65052915864013e-06,2.0552694542,6.18705261977796e-35,1.5307195645,0.0192765568,1.349370160825,0.0176490358876255,,,1.1363894196,2.07546851526386e-08,0.9727978893,0.0079141983,0.6499532281,1.07668648474661e-05,1.457893731,1.80233745930007e-18,1.75217956564782,2.347547280106e-05,,,,
67,Clu,15,5.2129897646,0.0293857565,,,2.25696177569116,1.5242747191386501e-24,1.88225688900561,4.810322392195e-23,1.3624890122,1.90316930282327e-24,0.618397961363629,0.0,3.05662108406737,8.24767727378137e-85,3.40407083368603,5.0415358310429e-51,2.8493256665,0.0018015567,2.92348109832415,7.62147055312424e-13,3.16228663220246,1.81309156825373e-08,,,3.5359716692,0.0009018953,,,,,,,1.9332861995,9.84513234476666e-05,0.9419754217,1.50116359028839e-05,,,3.04708916670322,0.0007673658080808,,,2.78220666511835,3.03589232935255e-20
83,Fhl1,14,1.9703424874,0.0262019668,,,0.779932142331557,8.45213372390091e-05,1.18382679674627,1.4461078418724001e-16,0.451518039,1.86120973006484e-14,0.31211628539368,2.19533779574223e-147,0.536348504424197,0.0003470553458979,1.10910459707307,4.31469781444026e-06,1.1289653595,0.0037795779,,,,,1.4923281017,4.617964090093481e-25,1.3825782391,0.0039253608,,,,,,,1.1091491177,0.0089480583,0.9138874989,0.0037761759,1.0981558009,1.4289024035829e-14,,,,,1.80318483041324,1.88723523953197e-06
84,Prtn3,14,,,0.6779697711,4.23493643094511e-07,1.15218602598307,7.45903339529698e-09,0.727791536629778,1.04382979633216e-05,1.2350468192,3.45878027180492e-15,0.334024127177863,7.63340592857225e-302,1.35750208075328,9.61800170112816e-20,1.32127931629183,5.214577180510319e-26,1.3080026208,0.0096852313,2.31338050396457,1.4460684807021098e-11,,,0.8271837356,6.26751177425505e-06,0.840102205,0.0136781694,,,,,,,,,,,0.9910703888,6.24302296434481e-10,1.55215267400611,5.03236807790153e-07,,,2.10935982759808,2.17434667553813e-14
85,Cd38,14,,,0.3940426148,0.0195154329,1.48575434114051,3.98725605058166e-08,1.35068166814088,9.33001472551217e-10,0.2652300023,2.40425759558962e-15,,,1.10849428874071,8.45809063821593e-10,1.66412947983305,0.0003819427791817,2.7694661174,0.0092174321,2.13983299773744,8.07938693560574e-05,,,1.9330915802,3.8712531792655603e-19,2.6790982474,0.0001410253,,,,,1.2545003703,1.8786386170247e-07,1.2605053759,0.0483470472,,,2.0358914966,2.31446985273986e-24,,,,,2.92387329090781,6.67955599544718e-08
