,Gene,Counts,LogFC_Cha,Adj.P.Val_Cha,LogFC_Man,Adj.P.Val_Man,LogFC_Kot,Adj.P.Val_Kot,LogFC_Kow,Adj.P.Val_Kow,LogFC_Her,Adj.P.Val_Her,LogFC_Nor,Adj.P.Val_Nor,LogFC_Ito,Adj.P.Val_Ito,LogFC_Man,Adj.P.Val_Man,LogFC_Red,Adj.P.Val_Red,LogFC_Mar,Adj.P.Val_Mar,LogFC_Wah,Adj.P.Val_Wah,LogFC_Fla,Adj.P.Val_Fla,LogFC_Ali,Adj.P.Val_Ali,LogFC_Laz,Adj.P.Val_Laz,LogFC_YoT,Adj.P.Val_YoT,LogFC_Ber,Adj.P.Val_Ber,LogFC_Gro,Adj.P.Val_Gro,LogFC_Rop,Adj.P.Val_Rop,LogFC_Sun,Adj.P.Val_Sun,LogFC_Deq,Adj.P.Val_Deq,LogFC_Kon,Adj.P.Val_Kon,LogFC_Kir,Adj.P.Val_Kir,LogFC_Men,Adj.P.Val_Men,LogFC_von,Adj.P.Val_von
36,Sbspon,18,,,0.6066761611,0.0002766336,4.44598128624323,4.2540057131092995e-81,,,0.259140626537686,3.14410015059998e-220,5.4550013419,0.0011373773,4.01484984242084,1.57549405183054e-59,4.38646959573339,6.21834520846022e-09,3.38716068880259,3.68305795045429e-05,4.6739313739,7.23121573282969e-31,6.7243328502,9.42524340377803e-07,0.977520269591664,0.0391892805277173,0.299903903892498,2.12646235076278e-100,2.4668756145,1.42620808183184e-10,3.29772276542248,2.90635910468329e-05,2.2536011791,0.0286638628,,,9.97090709451437,1.51601064222461e-25,3.8809869339,1.92366771826558e-57,,,,,,,5.53249319321991,7.67888521572365e-05,3.49912969251114,1.043932672174e-10
40,Clca3a1,17,,,,,2.65966421288677,1.0018063783243e-73,,,0.391373455648038,0.0,3.22677464,0.0003568728,2.95872793134566,2.1579334403406602e-46,3.02109605423532,2.9598647847683996e-13,3.02269202484192,3.95593323507432e-14,5.157997043,1.53031452037288e-53,3.0360838923,0.0002164155,1.72614294110833,0.0439753053103583,0.464764444343757,7.87088876359941e-211,1.5343621813,1.1912694417139299e-11,3.00889967897447,4.8313660676155397e-26,2.7016208648,1.63031200790492e-05,,,,,2.5671775374,3.76673095446021e-57,,,2.08264088460148,6.41301063097467e-05,0.720137035,0.0003129767,,,2.99071031658903,1.71710932053671e-27
46,Zg16,17,2.6458883961,0.0122078102,,,3.72512552116333,1.7319069944245797e-36,,,,,4.3340372357,0.0018015567,5.11622275123334,3.44013606399228e-15,5.76777885535925,1.66118687178574e-11,3.00761238148296,3.49134932096062e-07,10.4582497573,4.04382266786802e-17,3.5699097882,0.0004445173,1.272623946125,0.0302253043461593,,,2.5999806084,7.90315300668761e-08,,,2.5450903648,0.0007044965,,,11.0502335923465,3.68268441752549e-12,3.5409096847,1.01005280737479e-42,3.19689840865515,7.74939437132072e-53,3.44687630379422,1.43379669044295e-06,,,13.1498091816979,7.06327775549884e-13,2.71815140032197,3.78070195663145e-14
64,Clu,17,5.2129897646,0.0293857565,,,1.88225688900561,4.810322392195e-23,1.3624890122,1.90316930282327e-24,0.618397961363629,0.0,2.8493256665,0.0018015567,3.05662108406737,8.24767727378137e-85,2.92348109832415,7.62147055312424e-13,2.25696177569116,1.5242747191386501e-24,,,3.5359716692,0.0009018953,,,0.408148085409765,4.9641416012392595e-146,,,,,1.9332861995,9.84513234476666e-05,0.9419754217,1.50116359028839e-05,3.370430811703,8.79794237968424e-10,,,2.28237958794108,3.90438777806338e-213,3.04708916670322,0.0007673658080808,,,2.78220666511835,3.03589232935255e-20,3.40407083368603,5.0415358310429e-51
80,Prtn3,17,,,0.6779697711,4.23493643094511e-07,0.727791536629778,1.04382979633216e-05,1.2350468192,3.45878027180492e-15,0.334024127177863,7.63340592857225e-302,1.3080026208,0.0096852313,1.35750208075328,9.61800170112816e-20,2.31338050396457,1.4460684807021098e-11,1.15218602598307,7.45903339529698e-09,0.8271837356,6.26751177425505e-06,0.840102205,0.0136781694,,,0.287295712762699,1.75272570069966e-153,,,,,,,,,0.958953704165936,7.29198840211333e-07,0.9910703888,6.24302296434481e-10,0.6286488547453,1.72183376466652e-13,1.55215267400611,5.03236807790153e-07,,,2.10935982759808,2.17434667553813e-14,1.32127931629183,5.214577180510319e-26
81,Tm4sf1,17,3.9126206755,0.0283169787,0.4049255222,0.0035282078,2.0838312230614,2.01310957528242e-26,0.2751157552,7.25189550353797e-07,0.267654935202198,5.16603205191685e-225,3.3329366197,0.001920659,2.22231303791238,7.01137103822975e-22,2.12111841673851,0.000275976675238,2.30267996044127,2.99885304930987e-06,4.2294468274,1.12168823423024e-29,3.497414034,0.0027596913,,,,,1.4182466444,2.36048494139598e-05,,,,,,,,,2.6214102234,8.534000585110831e-31,2.70602107106899,2.25067107573366e-80,4.15821720771884,7.60191754639376e-05,,,5.18083995374536,0.0001396853011391,3.2662201492291,7.59990781808891e-09
82,Vwf,16,,,0.7578124998,1.30431068246327e-06,0.992436165042792,3.41698162559458e-11,0.284538469,0.0075679176,0.323527750772356,1.9747569319855e-197,2.0451373951,0.032075409,0.881022811276545,5.14529920789201e-13,1.63440676703474,4.94680871390773e-06,1.24607361226854,1.14886123756071e-06,1.8176362948,1.08214039887244e-27,2.089372431,0.0034203292,,,0.396239720445228,5.17175789552529e-181,0.9396538605,3.57230899199339e-05,,,1.2705966495,0.0006646503,,,,,1.771409558,4.6713851974388304e-20,1.58723019424516,4.51935358836494e-78,,,,,,,1.80498991358221,6.30548800722739e-29
83,Ehd3,16,,,0.7110352924,9.99940055816906e-05,1.8844717253186,2.23956863849837e-47,0.7457582681,1.0868515257568e-20,0.283370224375093,1.75418615613573e-168,2.2604275388,0.0019019739,1.43412581982441,2.22987694020305e-22,2.73907047043665,1.4500133116715e-06,1.88293315674973,4.9170076667247e-17,,,2.1004967086,0.0019545477,,,0.26140296271674,3.53131704904272e-100,,,1.8545702194367,1.44779790714108e-08,1.6302952059,0.0005580132,,,3.24653799572009,4.91916123932932e-08,,,1.65386454497123,1.21854862312988e-111,1.99721394621753,9.33969449663614e-05,,,,,2.78863705681488,1.20113054751865e-32
85,Cpne8,15,,,0.4804626594,0.0084084514,1.00663849209278,1.22952506613777e-08,,,,,1.7941145718,0.0080813338,0.904397519223585,7.82396027629145e-08,1.78418918865191,0.0002175167543498,,,1.752087647,7.59840392750039e-22,2.4730479592,0.0072177728,,,0.256545581876533,1.40711692900305e-86,,,1.08639829370479,1.12133500981735e-05,0.9266096048,0.0046591014,,,,,1.5039231082,6.552874716771571e-20,1.39038885596764,4.250326569603e-70,1.55635886397471,0.0001627024786402,,,1.9978778115464,0.000786655138839,1.29576790588347,0.0007964585275746
89,Matn4,15,,,0.4436402796,0.022257729,3.29989963578876,1.0696999361058901e-63,,,0.35203046430992,0.0,,,3.3403552491281,5.5117594842365e-34,3.47131423018045,0.0001411279951368,,,9.2148821699,3.19978319625341e-66,2.2467317957,0.029297856,,,0.268922799919139,6.53652669389836e-118,1.0492016712,2.60798603952726e-05,,,1.0158998486,0.0175474854,,,6.62559291266123,8.798040042611e-07,2.7551222234,1.95169396457907e-73,2.9421873984348,2.0056460450313e-194,4.4576034429385,4.50839130802032e-05,,,,,3.74657441373602,2.1586101679284e-11
